"","sampleid","processid","fieldid","phylum","class","order","family","subfamily","genus","species","uri","extrainfo","lat","long","collectiondate","fk_marker","nucraw_length","code"
"40","DHJPAR0012585","ASBD092-07","00-SRNP-23859","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Sendaphne","Sendaphne Whitfield04","BOLD:AAA7170","malaise-trapped",10.9333,-85.4573,"2000-06-03","1",621,"ASMGJ"
"41","DHJPAR0012586","ASBD093-07","99-SRNP-18909","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Promicrogaster","Promicrogaster liagrantae","BOLD:AAD9684","malaise-trapped",11.03,-85.527,"1999-07-12","1",657,"ASMGJ"
"42","DHJPAR0012588","ASBD095-07","99-SRNP-18911","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Promicrogaster","Promicrogaster fabriciocambroneroi","BOLD:AAX7726","malaise-trapped",11.03,-85.527,"1999-04-19","1",657,"ASMGJ"
"43","DHJPAR0012589","ASBD096-07","98-SRNP-16022","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Whitfield32","BOLD:AAX2082","malaise-trapped",10.9333,-85.4573,"1998-10-20","1",657,"ASMGJ"
"44","DHJPAR0012592","ASBD099-07","99-SRNP-18913","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi77","BOLD:AAB9863","malaise-trapped",11.03,-85.527,"1999-03-10","1",657,"ASMGJ"
"45","DHJPAR0012593","ASBD100-07","99-SRNP-18914","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi84","BOLD:AAB0594","malaise-trapped",11.03,-85.527,"1999-03-10","1",657,"ASMGJ"
"46","DHJPAR0012594","ASBD101-07","98-SRNP-16024","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Whitfield31","BOLD:AAI7798","malaise-trapped",10.9333,-85.4573,"1998-08-31","1",657,"ASMGJ"
"47","DHJPAR0012597","ASBD104-07","98-SRNP-16025","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Rasivalva","Rasivalva Choi76","BOLD:ACV3805","malaise-trapped",11.03,-85.527,"1998-08-17","1",657,"ASMGJ"
"48","DHJPAR0012601","ASBD108-07","98-SRNP-16029","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Snellenius","Snellenius warrenwagneri","BOLD:AAC6165","malaise-trapped",10.8439,-85.6138,"1998-12-28","1",657,"ASMGJ"
"49","DHJPAR0012602","ASBD109-07","99-SRNP-18915","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Fornicia","Fornicia Whitfield01","BOLD:AAF6682","malaise-trapped",11.03,-85.527,"1999-01-18","1",657,"ASMGJ"
"50","DHJPAR0012605","ASBD112-07","06-SRNP-98018","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi75","BOLD:AAX9683","malaise-trapped",10.8439,-85.6138,"2007-01-12","1",629,"ASMGJ"
"51","DHJPAR0012606","ASBD113-07","99-SRNP-18918","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi80","BOLD:AAX9686","malaise-trapped",11.03,-85.527,"1999-05-31","1",568,"ASMGJ"
"52","DHJPAR0012607","ASBD114-07","98-SRNP-16030","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi78","BOLD:ABX5680","malaise-trapped",11.03,-85.527,"1998-11-30","1",657,"ASMGJ"
"53","DHJPAR0012617","ASBD124-07","99-SRNP-18926","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles Whitfield301","BOLD:AAJ1367","malaise-trapped",11.03,-85.527,"1999-04-05","1",657,"ASMGJ"
"54","DHJPAR0012620","ASBD127-07","98-SRNP-16033","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Lathrapanteles","Lathrapanteles Whitfield01","BOLD:AAD3521","malaise-trapped",11.03,-85.527,"1998-10-05","1",657,"ASMGJ"
"55","DHJPAR0012621","ASBD128-07","98-SRNP-16034","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles pamitchellae","BOLD:AAA3934","malaise-trapped",11.03,-85.527,"1998-09-07","1",657,"ASMGJ"
"56","DHJPAR0012622","ASBD129-07","98-SRNP-16035","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles nealweberi","BOLD:AAB2471","malaise-trapped",11.03,-85.527,"1998-11-16","1",657,"ASMGJ"
"57","DHJPAR0012623","ASBD130-07","99-SRNP-18929","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles ninazitaniae","BOLD:AAA6269","malaise-trapped",11.03,-85.527,"1999-07-05","1",657,"ASMGJ"
"58","DHJPAR0012624","ASBD131-07","99-SRNP-18930","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield75","BOLD:AAE7080","malaise-trapped",11.03,-85.527,"1999-06-28","1",657,"ASMGJ"
"59","DHJPAR0012625","ASBD132-07","99-SRNP-18931","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield91","BOLD:ACL4468","malaise-trapped",11.03,-85.527,"1999-05-31","1",381,"ASMGJ"
"60","DHJPAR0012627","ASBD134-07","06-SRNP-98019","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield90","BOLD:AAY1040","malaise-trapped",10.8439,-85.6138,"2007-01-12","1",566,"ASMGJ"
"61","DHJPAR0012628","ASBD135-07","00-SRNP-23862","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield81","BOLD:AAF8296","malaise-trapped",10.9333,-85.4573,"2000-05-15","1",657,"ASMGJ"
"62","DHJPAR0012630","ASBD137-07","99-SRNP-18933","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles mikesharkeyi","BOLD:AAA2794","malaise-trapped",11.03,-85.527,"1999-07-05","1",657,"ASMGJ"
"63","DHJPAR0012631","ASBD138-07","98-SRNP-16036","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield77","BOLD:AAA9309","malaise-trapped",10.9333,-85.4573,"1998-08-31","1",657,"ASMGJ"
"64","DHJPAR0012634","ASBD141-07","99-SRNP-18935","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles eowilsoni","BOLD:AAD9762","malaise-trapped",11.03,-85.527,"1999-03-08","1",657,"ASMGJ"
"65","DHJPAR0012642","ASBD149-07","00-SRNP-23864","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles Whitfield09","BOLD:AAB6927","malaise-trapped",10.9333,-85.4573,"2000-05-22","1",657,"ASMGJ"
"66","DHJPAR0012643","ASBD150-07","98-SRNP-16043","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles Whitfield11","BOLD:AAX1139","malaise-trapped",10.9333,-85.4573,"1998-12-07","1",657,"ASMGJ"
"67","DHJPAR0012645","ASBD152-07","98-SRNP-16045","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles Whitfield10","BOLD:AAX1134","malaise-trapped",10.9333,-85.4573,"1998-10-26","1",657,"ASMGJ"
"68","DHJPAR0012648","ASBD155-07","98-SRNP-16047","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield64","BOLD:AAA7143","malaise-trapped",11.03,-85.527,"1998-09-28","1",657,"ASMGJ"
"69","DHJPAR0012712","ASBD219-07","03-SRNP-38729","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles rosibelelizondoae","BOLD:AAA4871","malaise-trapped",10.9019,-85.2749,"2003-06-20","1",570,"ASMGJ"
"70","DHJPAR0012727","ASBD234-07","98-SRNP-16052","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield78","BOLD:AAE7075","malaise-trapped",10.9333,-85.4573,"1998-09-14","1",603,"ASMGJ"
"71","DHJPAR0012731","ASBD238-07","98-SRNP-16056","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Whitfield30","BOLD:AAX2083","malaise-trapped",10.9333,-85.4573,"1998-08-31","1",657,"ASMGJ"
"72","DHJPAR0012736","ASBD243-07","98-SRNP-16060","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen20","BOLD:AAI9747","malaise-trapped",11.03,-85.527,"1998-08-31","1",657,"ASMGJ"
"73","DHJPAR0012739","ASBD246-07","99-SRNP-18944","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Janzen38","BOLD:AAX8658","malaise-trapped",11.03,-85.527,"1999-02-15","1",573,"ASMGJ"
"74","DHJPAR0012744","ASBD251-07","06-SRNP-98020","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen257","BOLD:AAF5364","malaise-trapped",10.8801,-85.3889,"2007-01-13","1",657,"ASMGJ"
"75","DHJPAR0012747","ASBD254-07","06-SRNP-98022","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen117","BOLD:AAD9699","malaise-trapped",10.8439,-85.6138,"2007-01-12","1",657,"ASMGJ"
"76","DHJPAR0012750","ASBD257-07","00-SRNP-23867","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Parapanteles","Parapanteles Whitfield07","BOLD:AAE6855","malaise-trapped",10.9333,-85.4573,"2000-05-22","1",657,"ASMGJ"
"77","DHJPAR0012754","ASBD261-07","98-SRNP-16065.1","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles nataliaivanovae","BOLD:AAC5317","malaise-trapped",11.03,-85.527,"1998-12-07","1",657,"ASMGJ"
"78","DHJPAR0013537","ASBD402-07","99-SRNP-18968","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield306","BOLD:AAL3594","malaise-trapped",10.8439,-85.6138,"1999-12-06","1",657,"ASMGJ"
"79","DHJPAR0013543","ASBD408-07","99-SRNP-19003","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles Rodriguez176","BOLD:AAD5258","malaise-trapped",10.8439,-85.6138,"1999-05-10","1",657,"ASMGJ"
"80","DHJPAR0013547","ASBD412-07","99-SRNP-19045","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Cotesia","Cotesia Whitfield03","BOLD:AAE9345","malaise-trapped",10.8439,-85.6138,"1999-04-19","1",657,"ASMGJ"
"81","DHJPAR0013552","ASBD417-07","99-SRNP-19060","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles victorbarrantesi","BOLD:AAE6770","malaise-trapped",10.8439,-85.6138,"1999-01-11","1",657,"ASMGJ"
"82","DHJPAR0013555","ASBD420-07","00-SRNP-23869","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles shelbystedenfeldae","BOLD:AAC1266","malaise-trapped",10.8439,-85.6138,"2000-05-22","1",657,"ASMGJ"
"83","DHJPAR0013565","ASBD430-07","00-SRNP-23900","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles Rodriguez200","BOLD:AAK1637","malaise-trapped",10.8439,-85.6138,"2000-05-01","1",657,"ASMGJ"
"84","DHJPAR0013591","ASBD456-07","99-SRNP-19102","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield199","BOLD:AAD6534","malaise-trapped",10.8514,-85.608,"1999-05-10","1",626,"ASMGJ"
"85","DHJPAR0013605","ASBD470-07","00-SRNP-23979","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles raulsolorzanoi","BOLD:AAA6667","malaise-trapped",10.8514,-85.608,"2000-05-22","1",570,"ASMGJ"
"86","DHJPAR0013631","ASBD496-07","99-SRNP-19244","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles jesusugaldei","BOLD:ABX6466","malaise-trapped",11.03,-85.527,"1999-01-18","1",587,"ASMGJ"
"87","DHJPAR0013641","ASBD506-07","99-SRNP-19254","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Janzen255","BOLD:ACF2929","malaise-trapped",11.03,-85.527,"1999-06-14","1",381,"ASMGJ"
"88","DHJPAR0013645","ASBD510-07","99-SRNP-19258","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles Whitfield189","BOLD:AAI7285","malaise-trapped",11.03,-85.527,"1999-05-10","1",572,"ASMGJ"
"89","DHJPAR0013648","ASBD513-07","99-SRNP-19261","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Pseudapanteles","Pseudapanteles alvaroumanai","BOLD:AAE0922","malaise-trapped",11.03,-85.527,"1999-04-05","1",606,"ASMGJ"
"90","DHJPAR0013663","ASBD528-07","07-SRNP-15074","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Dolichogenidea","Dolichogenidea Rodriguez197","BOLD:AAC8392","malaise-trapped",10.8439,-85.6138,"2007-05-01","1",593,"ASMGJ"
"91","DHJPAR0013320","ASBRD005-07","98-SRNP-16072","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Snellenius","Snellenius irenebakerae","BOLD:AAC9684","malaise-trapped",10.8439,-85.6138,"1998-10-26","1",657,"ASMGJ"
"92","DHJPAR0013314","ASBRD010-07","98-SRNP-16077","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Snellenius","Snellenius lucindamcdadeae","BOLD:AAD3624","malaise-trapped",10.8439,-85.6138,"1998-08-31","1",629,"ASMGJ"
"93","DHJPAR0013342","ASBRD033-07","99-SRNP-18953","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Snellenius","Snellenius velvaruddae","BOLD:AAH2837","malaise-trapped",10.8439,-85.6138,"1999-05-17","1",657,"ASMGJ"
"94","DHJPAR0013383","ASBRD037-07","99-SRNP-18957","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles philwardi","BOLD:AAE7160","malaise-trapped",10.8439,-85.6138,"1999-04-26","1",657,"ASMGJ"
"95","DHJPAR0013126","ASBRD059-07","99-SRNP-18985","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Prasmodon","Prasmodon paulgoldsteini","BOLD:AAE0704","malaise-trapped",10.8439,-85.6138,"1999-11-22","1",619,"ASMGJ"
"96","DHJPAR0013070","ASBRD067-07","99-SRNP-18993","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Apanteles","Apanteles josejaramilloi","BOLD:AAD6849","malaise-trapped",10.8439,-85.6138,"1999-03-08","1",657,"ASMGJ"
"97","DHJPAR0013269","ASBRD071-07","99-SRNP-18997","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi314","BOLD:AAL1022","malaise-trapped",10.8439,-85.6138,"1999-05-24","1",588,"ASMGJ"
"98","DHJPAR0013385","ASBRD080-07","99-SRNP-19008","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Glyptapanteles","Glyptapanteles daveschindeli","BOLD:AAF8182","malaise-trapped",10.8439,-85.6138,"1999-05-10","1",657,"ASMGJ"
"99","DHJPAR0013267","ASBRD081-07","99-SRNP-19009","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Diolcogaster","Diolcogaster Choi95","BOLD:AAF5702","malaise-trapped",10.8439,-85.6138,"1999-05-10","1",657,"ASMGJ"
"100","DHJPAR0013123","ASBRD084-07","99-SRNP-19012","Arthropoda","Insecta","Hymenoptera","Braconidae","Microgastrinae","Hypomicrogaster","Hypomicrogaster Whitfield48","BOLD:AAX2166","malaise-trapped",10.8439,-85.6138,"1999-12-13","1",657,"ASMGJ"
